Sampling Rate,Sequence Length(min),Predicted Length(min),HA RMSE,HA MAE,HA Cor,HA R2,SVR RMSE,SVR MAE,SVR COR,SVR R2,SVR GRAPH RMSE,SVR GRAPH MAE,SVR GRAPH Cor,SVR GRAPH R2,ARIMA RMSE,ARIMA MAE,ARIMA Cor,ARIMA R2
1,60,5,73.29848556501243,42.87405050562935,0.639835731162825,0.4070933268275706,96.77707564398631,72.1888224354877,0.5315581340512678,-0.033573401380533774,96.35688488706853,72.78588509509113,0.5275808912555858,-0.0897117118358115,73.31443456992879,42.84250309515854,0.639616865425035,0.4070398788168742
1,60,60,81.57702870670082,47.735205658872886,0.5518614906168159,0.286444665061367,101.85497902833448,76.22706465884625,0.4908986727205432,-0.11238831734273158,99.69923701829114,75.36661744394073,0.49690283747020453,-0.13117065711923304,81.9491949511429,47.87737366497332,0.5456575322185525,0.28011712428667757
1,60,15,75.28435539575523,44.061453586920045,0.619496653865451,0.3786039929935312,98.5341179068789,73.5709239578351,0.5172580233269048,-0.064467121813927,97.2934901851044,73.40256853603941,0.5186816350550011,-0.1035822784997309,75.65492148237568,44.328653594445214,0.6143889845940115,0.3726500067917137
1,60,30,77.67691743538677,45.49006755386393,0.5951001162109703,0.3443910796347037,100.49520117170223,75.14747488316435,0.503975760543501,-0.09736609255834616,98.42227034171525,74.33350013487794,0.509773601812158,-0.11880247569608837,78.22824776396295,45.85238204141065,0.5868074457736826,0.33525662421873914
1,60,45,79.62494051142396,46.656370957689056,0.5743972165152211,0.3163135580419132,101.21028698275985,75.75557039311585,0.4972365235499221,-0.1046076291931124,99.1450084565014,74.82834246729267,0.5025656838468662,-0.12583658215923244,80.26543716533216,46.99346825815636,0.5646695568658797,0.3054676982473129
1,15,5,74.87496993812678,44.717645080231286,0.6552486141070729,0.42456606701371047,102.63262633455778,77.95296667708259,0.5029265984956534,-0.08116762206825667,95.99310993868758,71.70819884429714,0.5229755830311448,-0.0761718919514367,75.16888060530341,45.212114112547695,0.653327920534475,0.42284134673453566
1,15,60,86.64219721617864,52.12466801122099,0.534263802741649,0.2513493757650509,110.34469717944229,85.28263571811773,0.4634531687592379,-0.21429221512216512,101.85370499156448,76.9834201377449,0.48601516381537513,-0.17106877639605633,86.53798801320926,52.20149377415858,0.5355829848758937,0.25597268465062617
1,15,15,78.37547112332011,46.99480854685391,0.6195133530284666,0.3732675248830727,106.18662081067626,81.59192514669454,0.4834588909400225,-0.15043337084231068,97.7915831994445,73.48854704578685,0.508701100206256,-0.1093327054414921,78.64905910489142,47.4499003670202,0.6175793594208601,0.37181566363323715
1,15,30,81.90097076375012,49.306989728126545,0.5834464996175868,0.3213285112751205,108.23773729136524,83.32382983898913,0.47333148644309986,-0.18532901486200792,99.7327327187652,75.2053695199062,0.49795545005261743,-0.14297526150907158,81.9362679967914,49.56217803222495,0.5837753226169126,0.32385241510542506
1,15,45,84.44506366805558,50.87724071226868,0.5572914945213299,0.2840332495104345,109.68244824524797,84.6745411418344,0.4678343046156979,-0.20786553932453433,100.74811098322269,76.0913435640204,0.49066822995368475,-0.15557680846535016,84.37122931449905,51.0154920683667,0.5586562230301922,0.2884359998229903
1,30,5,73.3397482050693,43.25267885097203,0.6529096221399221,0.42339345761507385,98.22346746920604,73.42250903612631,0.5232877761605476,-0.03426364564520612,95.23579417690073,71.3932808009431,0.5295080509411695,-0.07038538543136386,73.48818118638017,43.42445696961587,0.6515400366589228,0.42193138930125673
1,30,60,83.73451509819405,49.56362919334093,0.5449905826850326,0.27180202508223794,104.92663953463118,79.34868894004813,0.4804505488476272,-0.14343630031737775,99.78322776497009,75.13317052632428,0.4946980218065832,-0.13348050832386504,83.79657060192787,49.648867344616086,0.5430934753155693,0.2715349505766863
1,30,15,76.1228362912577,44.90025433352713,0.6248096438967713,0.3829048163899217,100.84064653187956,75.75881155834745,0.5059448925749593,-0.08291277424802179,96.65015702110338,72.59894691278454,0.5178696767192118,-0.09466685817241016,76.40251544505001,45.338537530079854,0.6210235467819488,0.3792810900711142
1,30,30,79.06627926245531,46.89277759741236,0.5939485095992654,0.3403203550689008,103.06732632625105,77.68878353470971,0.4929479089263954,-0.12096615401820277,98.03995470788534,73.77260806587036,0.5062952663443702,-0.11477558709742519,79.33053326815522,47.15861334277456,0.5904828606508441,0.3368259738926054
1,30,45,81.58049702124094,48.381962329858275,0.5679937881223502,0.3036451460684032,104.01890318370904,78.57826877898542,0.4851538258133251,-0.13209390854507586,98.84720553719303,74.4045800355446,0.499677327464839,-0.12233077767906386,81.73674078795845,48.55235158277688,0.5651658466950648,0.3018489482898683
1,45,5,73.13327345271621,42.89823648260393,0.6464343626644355,0.41541705330128265,97.04988222557662,72.37855310187945,0.5298837484524361,-0.02945209463448406,95.82253357197443,72.18689004608646,0.5287745204734531,-0.08275033351157024,73.18210054626881,42.927206850341655,0.6459397158128928,0.41505037365020314
1,45,60,82.42512855963429,48.405429028045994,0.5493469384610064,0.2805148724523123,102.93763355736444,77.3132940981711,0.48731229950850025,-0.1221500022872315,99.66524610676706,75.18631073187109,0.4966336138220571,-0.13148441043434556,82.61941329807232,48.51811719761272,0.5452936337162835,0.2775235657936106
1,45,15,75.44553430510172,44.28542385443448,0.6229694871145343,0.38212111947977057,99.19776274154746,74.1556515192128,0.5135324303383618,-0.0681691446447581,96.94648451777839,73.01338920637339,0.519098280087624,-0.10035335414146673,75.74499077094308,44.59797201636404,0.618776783620909,0.37760908624662637
1,45,30,78.03441447714765,45.89024392888832,0.5965210842992955,0.3450458558025711,101.15115902776668,75.85251881147062,0.5007779522163517,-0.10047522384753038,98.14977677772175,73.91401507283794,0.5091857572270024,-0.11662073114125726,78.49726111411634,46.2617618484574,0.589635856720194,0.33765302286318954
1,45,45,80.37602938773173,47.31047456194236,0.5711199354637072,0.31088136587675896,102.13442672611372,76.60022625515155,0.49340624012834977,-0.11271824383671958,98.86861430092625,74.5335760219629,0.5023947513281661,-0.12269209405201087,80.75789181362134,47.53948757303098,0.5654873612437603,0.3047481257970681
10,60,5,78.74070353330471,47.84062084608298,0.6223106931130613,0.37985906286830384,113.22886486711104,89.14029103171946,0.46389832131037584,-0.28234867251312856,101.81670343082158,77.32728380746781,0.5002575080904699,-0.17291631031658938,81.54861066871625,47.97869551181264,0.6007985797913,0.3356282932199255
10,60,60,87.94484922153623,53.280471727122325,0.5292000888173912,0.24441693607532367,116.34878064074385,92.36642616618828,0.452820099853638,-0.3224676884430424,105.95968408332335,81.26387536930855,0.47614603138931083,-0.2349410400465861,87.84518168904616,53.41462923684639,0.5274057594343718,0.2468277512023236
10,60,15,81.14453404430812,49.20127681165189,0.5987794865721812,0.34461770447897,114.91940791215524,90.83438012106292,0.45870009955740254,-0.31450706066186696,103.17217652009947,78.71829240018877,0.49006851576414556,-0.19759547533250932,81.32090023532929,49.311908162056866,0.5975507127849033,0.34246504950668644
10,60,30,84.17013780402331,50.93494300661518,0.569648166859256,0.3003196460297872,115.900920108434,91.76309599130492,0.4542255827444213,-0.3266530834551862,104.63319644762989,80.075809088696,0.4839547984438885,-0.22083482604991467,83.93054266064411,51.17189510660236,0.5697517315786516,0.3049897676952549
10,60,45,86.41741915095318,52.29666033794454,0.5470334771916815,0.26719944426121256,116.13095871608576,92.01621825043443,0.45379671721269293,-0.3233637335462016,105.53695039890125,80.91147992163712,0.479158740735266,-0.23221626951189522,86.14076992108374,52.48706660035246,0.5462051759338813,0.2726037898607663
10,15,5,90.39700942752559,57.37953027779652,0.6032779734177712,0.31956664332982,122.98485767488697,97.43703259132702,0.4592610427653706,-0.2594494912102474,116.17624518616262,91.00570673058274,0.4536051836268005,-0.39075370184442715,110.81041575844121,66.720106738345,0.5147494625464,0.05850468010964571
10,15,60,105.29849735016703,67.77333820686985,0.4744078059319232,0.09842235547265132,121.94662954439427,96.8678143095757,0.46879577853166066,-0.20920070012236192,116.72726693117765,92.03750884704095,0.4550518924722117,-0.36589589219086993,110.61063563298153,70.23051834989931,0.47377877068666857,0.07187137881211392
10,15,15,97.84331190943115,61.14129958031371,0.5472306187929984,0.20857257592117784,123.11834941418483,97.75464410524941,0.46178241180503676,-0.25312494308895706,116.84175910558854,91.9605692845804,0.4528656121379474,-0.39945890909052095,108.98740520072947,67.83963889940831,0.518056079823076,0.09297854262800043
10,15,30,100.18619619416218,64.04651210298584,0.5219704013792884,0.1748691775206529,122.91659899682449,97.68302631449895,0.46620493362129234,-0.24201861476408815,116.79906337824683,92.14147682301815,0.45445428581025066,-0.38789102211434945,105.87274140263538,66.78198512536686,0.5171905585351169,0.14716075970805076
10,15,45,102.9288911351775,66.21681768085045,0.49669615224506725,0.1344712172014555,122.41902812243103,97.2358311143987,0.46900770155641786,-0.22434773238976446,116.69171339366532,92.05312652259914,0.45422447885854117,-0.375271744088979,113.81039352646808,72.15816819805953,0.47412153547260116,0.018798975579817134
10,30,5,82.48711911143386,51.43994025662901,0.6227650754900461,0.37219831084579036,121.20205570989485,96.79400506989798,0.4429971635175437,-0.35540842186786925,108.99779746001272,84.01376558778514,0.47180686603382516,-0.30122014078657555,90.16803035805498,54.23029044148981,0.5671118531329579,0.25563658903468434
10,30,60,94.80269752724544,59.15416572837597,0.5055842740552069,0.19089959115328803,121.40492144939826,97.02367020712977,0.4500171649977185,-0.32688601038551224,111.91726567366672,87.22865513230327,0.4603730535772288,-0.3312784125055259,94.46873407691842,59.28209607558963,0.509273123279751,0.20165807507310085
10,30,15,86.70691254582987,53.60701875986156,0.5856861342881776,0.31019986716968284,121.94099875139696,97.57327081367029,0.44347954386113975,-0.36431710739932277,110.38390543626855,85.60910843080211,0.4658441156805795,-0.3264815752703125,87.94986140939857,54.725306267451685,0.5767536003611209,0.29580029861851365
10,30,30,90.34734268782032,56.07775840600451,0.5512865281071081,0.2571045011609243,121.67528383526809,97.29346504983918,0.4463211628464366,-0.34741598702582976,111.36952781002006,86.59948591874925,0.4620209991358052,-0.3380752115368031,89.87689333103862,56.52656065399942,0.556129926668458,0.270663547238819
10,30,45,92.70508122586527,57.87300531496886,0.5270591713111338,0.22240093943867256,121.495702726283,97.14340849407341,0.4485034340985425,-0.3355817755875543,111.57516241772521,86.94130468716311,0.4619431190270708,-0.3318477437581471,92.49236121605605,58.1642566351905,0.5295171589347373,0.23113214918777225
10,45,5,79.98482742947034,49.09931815070587,0.6238088177566403,0.37931022525603375,117.3432587112847,93.17933456620923,0.4510475553566554,-0.3359052483771545,104.73282607679548,79.97618132101071,0.48778158048815773,-0.22894799172649893,84.52069112975677,50.17132638551882,0.5886352511960375,0.3088010861113918
10,45,60,90.58386798978918,55.508060886548,0.5191117205683259,0.22360866108298094,119.43026446698316,95.29066836955501,0.448467813115237,-0.349608320800191,108.86261027358687,84.02444348992724,0.4676596919242641,-0.2877448885838312,90.24615861567327,55.57863860944196,0.5205212996171655,0.23109632751806508
10,45,15,82.9830651823999,50.73534756433371,0.5955755434536933,0.33537727516694815,118.54601414684025,94.38563749249657,0.4492707434743901,-0.3563449485729626,105.94465593913881,81.3541658427514,0.479682770846714,-0.2503905248994318,83.51459324057312,51.15086283480713,0.5912235130366934,0.3286378652004561
10,45,30,86.4902733239739,52.78860808540402,0.5625851500213093,0.28380532547955606,119.185214821723,95.01766929315822,0.44613647541789186,-0.3600075378087988,107.40564725618098,82.69847569228388,0.4740900945950298,-0.2728916760897999,85.93554852650789,53.08104113330561,0.5657014336966744,0.29459757671247366
10,45,45,88.52910500895958,54.26408708930557,0.5407002016461999,0.25415477939525377,119.18136078206473,95.04629242969742,0.4477508444356475,-0.3517402422575877,108.12460477258111,83.4516433733957,0.4705545475635237,-0.27999959590540424,88.3449092045019,54.516555000086406,0.5405797676953983,0.25902103796410525
2,15,15,81.00108418735945,48.940737447276526,0.6144135446676898,0.360516166617305,114.1935544809214,89.87700875981827,0.4571007470523559,-0.2709576766711559,101.61848433387237,77.2436948383218,0.4957982141133138,-0.17202223661098937,80.96448401182207,49.42536058784117,0.6164285755011079,0.36573448327570035
2,15,30,84.87923848136207,51.59178465899629,0.5762009506709473,0.3040581437390799,115.60165842818262,91.16559994382023,0.4536586020615646,-0.29091645670913047,103.6295704023312,79.08126111681892,0.484009340711835,-0.2064198353624418,84.72704644283748,51.88771744422954,0.5791561058199209,0.3115096198615549
2,15,45,87.48145464418114,53.29542644190894,0.5501489576607261,0.2656807345575827,116.25015388757893,91.80432127360753,0.453550789379465,-0.2967014711606313,104.51152251478148,79.88185296475903,0.4805835184836359,-0.21674952360599864,87.15605534020858,53.420672263587704,0.5547987737200187,0.27617153456793064
2,15,5,77.41725958039773,46.467010297933264,0.6496015918419525,0.41281002339523687,111.35715054694751,86.96854941751722,0.46840134605846134,-0.21489645372654587,99.76347315568245,75.05648734881274,0.5050951107427722,-0.13644066541450073,77.4365946863691,46.9362881927626,0.6515489708100456,0.4169348511896921
2,15,60,89.67240428974749,54.58499295238266,0.5278791463983843,0.23313756390551144,116.59324778887512,92.17913544895669,0.4522209911728833,-0.2964227292325967,105.57416216101308,80.84803267978505,0.47675341242118496,-0.23124497807856725,89.36056444772574,54.65875639790827,0.5319883721307124,0.24319681437108998
2,30,15,77.41202284612582,45.75284199109926,0.6249316571599374,0.38002106939409463,104.30971572200627,79.79986332795961,0.4940608379999147,-0.12566619012444735,96.80344977830863,72.662554061083,0.5166087144135662,-0.08603214319494623,77.49928851296433,46.187362073487506,0.6231228312246331,0.37983147742062406
2,30,30,80.53044220326193,47.93074853974188,0.5927316800367695,0.3348709090657114,106.37993743117957,81.81897335486887,0.48421968296164386,-0.16066058508543835,98.4701091216641,74.16717621714507,0.5058849507178738,-0.11269698659661564,80.65936458832027,48.21166479068808,0.5907482243112665,0.33396301769157044
2,30,45,83.14989559863537,49.52105524828796,0.5663482205559197,0.296658830373456,107.38599561345814,82.6732125683183,0.47787674833131405,-0.1731077900932907,99.61588255825895,75.07862756045465,0.49880637947597695,-0.1284009846481382,83.11571244924228,49.66529127629586,0.5654739386165736,0.2984017277365133
2,30,5,74.36063113314596,43.959850756281554,0.6546781481418198,0.4242080357451913,101.5379311945305,77.04783910745635,0.509673995299927,-0.07358413811469733,95.28221897218826,71.07525700246262,0.5277693303448514,-0.05949669671735447,74.28114105189361,43.96268810853822,0.656051242853789,0.42658817448571207
2,30,60,85.31395860482432,50.736964304683475,0.5435986799286602,0.2645995265542357,108.31566260647104,83.57836508345568,0.4734421235781384,-0.18540359218487312,100.66776879226617,76.07611835477665,0.4934948710313246,-0.1424690454597617,85.21227834779381,50.7871494072519,0.5433756909555947,0.2674765561136707
2,45,15,76.20989292189935,44.7305054281844,0.6251159262650398,0.3829474975048981,100.76193986570068,76.05489883779576,0.5091480068739122,-0.07867957402870429,96.08830821534455,72.08012169304955,0.5217510489169542,-0.0737842876646968,76.34334441836201,45.01593726395467,0.6227446020917692,0.3812810617041428
2,45,30,79.01439257975142,46.47705758705539,0.5968650748939749,0.3423318703439363,102.78196060053754,77.96143141813192,0.4970010989743053,-0.11282834846193657,97.60737308613825,73.28198064133565,0.5107458043558757,-0.09763516553204243,79.24729422964441,46.82390005317713,0.5923752161856446,0.33893194469091414
2,45,45,81.29284853836906,47.9300040708916,0.5724771698225279,0.30932204630612714,103.91769916989224,78.9852587637373,0.4887486030202189,-0.12862575161529421,98.46290854786204,74.0774585683426,0.5038707965005536,-0.10700581418152377,81.56314172626108,48.139743222236916,0.5680336387987909,0.3052152939045093
2,45,5,73.72004797933255,43.25570557496087,0.6497252934006137,0.41870378315518664,98.30158188314404,73.66652879038931,0.5240165063715424,-0.03358760219597401,94.6823848026165,70.79791613985024,0.5327576946135484,-0.04991482367005329,73.46833986267605,43.04868839385456,0.6526997979543655,0.4231657542554408
2,45,60,83.43666996115127,49.080273312079676,0.5501732349826896,0.27753149141006317,104.57004256603406,79.6404340680109,0.4845343180705874,-0.1348006237813213,99.22243552765003,74.73057130073148,0.49868934232352335,-0.11494312894927328,83.47441099131798,49.15803168874279,0.5476969786132123,0.27736559245586445
2,60,15,75.71826506721146,44.27574719682458,0.6231082532765433,0.3818002149979528,99.09824890705244,74.25363906664523,0.5150299265687843,-0.05891110232815566,96.27986803255968,72.20773195558272,0.5223022669796806,-0.07608255469932357,75.93431901113303,44.491668599527266,0.6197997013788328,0.3784817591729972
2,60,30,78.28003831367141,45.79986651934986,0.5973263623984861,0.3448076868032697,101.03837579595506,76.07212940663234,0.5035592876590398,-0.09153947660549355,97.47684766054488,73.20161546933959,0.5125347044695768,-0.09300733863219324,78.65933988446614,46.12946726466552,0.5909026127295665,0.3386833200805328
2,60,45,80.28978386867774,47.01832517492278,0.5764085487167052,0.3158967577729719,101.77733674769034,76.84901934794769,0.4962582711374484,-0.09926711392534937,98.1999573652919,73.79014196623024,0.5063445816325327,-0.10005018800193377,80.7574763408468,47.312646920197984,0.5685400477470249,0.3081430436908287
2,60,5,73.6154038324267,43.02384239757079,0.6442367013031778,0.4120299886272458,96.9368094082246,72.19245546797212,0.530066789467146,-0.0195187580320364,95.03069520817283,71.23696181885184,0.5329634413030607,-0.055153801263389646,73.26578671649227,42.70759318881309,0.6482652240801734,0.41784542538632763
2,60,60,82.20041686861484,48.10671553687764,0.5545878060659273,0.28680986909056716,102.3662081924821,77.42340714581108,0.49109397521195325,-0.10603919646196225,98.7371997313614,74.30466343940664,0.501286345154195,-0.10509815562483982,82.47325704132443,48.22917877120672,0.5494470287333649,0.28230119855289615
